Time,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,itbit,kraken,others,therocktrading
2017-12-22 11:00:00 UTC,13397.0378427565,13881.068847185,15382.5278578154,13985.768233911,,13902.2486118123,,13873.7706932051,13396.5673640333,13691.805
2017-12-22 12:00:00 UTC,13409.8589941893,13939.7150831834,15365.3019296188,14024.9221539362,,13973.4115904018,,13916.7867426942,13388.080438856,13956.906
2017-12-22 13:00:00 UTC,12386.0588407294,12919.3381673052,14700.1416704162,12760.8201146428,,12793.6505018557,,12694.9656389453,12339.9867743599,13215.26
2017-12-22 14:00:00 UTC,11515.1486184821,11771.4437181025,13588.3911335493,11563.0106082513,,11625.8536796811,,11668.507936455,12606.367903246599,11828.5714285714
2017-12-22 15:00:00 UTC,12369.9538936114,12842.9068988871,14597.1310974762,12960.0664829741,,12843.642546877,,12687.577508925,12488.5969459987,11651.93
2017-12-22 16:00:00 UTC,12267.3403504918,12798.2520037128,14453.2018111559,12849.1209245348,,12759.1619164134,,12678.8083602119,12644.9221346513,13115.6394444444
2017-12-22 17:00:00 UTC,12560.812600079,12993.6948781308,14761.1741307733,13136.6812560055,,12970.5977224198,,12909.5153005465,13320.6381781152,13295.2625
2017-12-22 18:00:00 UTC,12809.5622861355,13176.6414594859,15033.7312150026,13231.3382046582,,13135.1183454417,,13133.917325228,13509.2037242296,13000.0
2017-12-22 19:00:00 UTC,12942.9411335958,13234.4110163011,15222.1867412806,13354.7397398021,,13241.1316184828,,13394.6932114883,13801.3351233906,
2017-12-22 20:00:00 UTC,13332.739662448,13916.4779732313,15413.0103724138,14103.7921159669,,13873.765311195,,13888.6051712557,14093.0361456159,13869.296
2017-12-22 21:00:00 UTC,13614.5172730509,14301.8062341651,15597.2746040372,14512.2724154405,,14369.7416545752,,14276.7123801917,14336.6486500181,13800.0
2017-12-22 22:00:00 UTC,13959.3758629639,14522.6991283481,15996.3851563328,15057.4901832931,,14892.9221881607,,14462.6607091413,14278.8787944312,
2017-12-22 23:00:00 UTC,13465.81021321,14138.1466221892,15570.0725249042,14506.2007716897,,14437.6835351257,,14385.8154768704,14019.4431471733,13685.7185714286
2017-12-23 00:00:00 UTC,13299.7141532744,13988.0075425895,15436.3583561643,14431.3310651068,,14270.2334979544,14111.9960176991,14027.7443345324,13800.3676216545,
2017-12-23 01:00:00 UTC,13347.7580722101,14076.9732778264,15559.9660273973,14383.5021255685,,14292.0579552239,14245.8172972973,14019.7557765152,13626.8244129032,
2017-12-23 02:00:00 UTC,13671.0309675389,14453.3714667816,15972.3970175439,14564.3574876055,,,14562.6409375,14350.447826087,13941.6949854792,
2017-12-23 03:00:00 UTC,13742.9455607046,14520.8678720964,16249.872962963,14676.7301715282,,14636.770179153,14625.6725663717,14538.611221608,14017.3253908356,
2017-12-23 04:00:00 UTC,13978.24330488,14709.6619819819,16488.0581284607,14872.8297611272,,14873.3299143102,14877.1390677966,14687.3036098311,14193.1736935259,
2017-12-23 05:00:00 UTC,13671.0307901852,14208.1855783784,16066.6720588235,14409.1432374433,,14456.8741582966,14452.9131,14174.3755430974,13722.5447064829,
2017-12-23 06:00:00 UTC,13333.0431051915,13872.21851919,15964.1159914255,14051.6806292289,,14020.5067977528,14080.3225503356,13748.9946862996,13441.80300412115,13600.0
2017-12-23 07:00:00 UTC,13808.2314758041,14268.6035502392,16413.6988062016,14495.0586225069,14646.1847348468,14562.9807334108,14524.0148773006,14131.1636954503,13780.50729132005,
2017-12-23 08:00:00 UTC,13988.6839692158,14489.5115966942,16594.3758951965,14712.4167692632,14731.4688917716,14657.2324967659,14666.5941639344,14349.4525739321,14144.167298629949,
2017-12-23 09:00:00 UTC,13861.6948214429,14386.956272459,16734.1275545851,14678.2891747734,14669.5417341428,14569.0986993154,14540.423805668,14295.8374878286,14075.026481464749,14800.0
2017-12-23 10:00:00 UTC,14076.7770604931,14605.7867336437,16829.4860463122,14887.9535714283,14875.2976000778,14837.5501382489,14876.5464705882,14524.0872337838,14217.3250513357,
2017-12-23 11:00:00 UTC,14437.9557066788,15019.0431112812,17270.896923879,15229.4789113738,15214.0294539073,15180.9773461538,15197.7462867647,14916.0246124031,14548.02129147125,14900.0
2017-12-23 12:00:00 UTC,14474.2820995311,15037.5359019383,17380.1572035573,15287.8393254818,15371.0260268903,15190.3117821331,15314.1829562044,15012.1122289679,14578.2434224643,14912.5
2017-12-23 13:00:00 UTC,14519.0117640989,15041.8586251656,17348.8314533132,15304.0445658518,15435.7087470666,15140.8857641921,15253.8276397516,15047.8054104478,14628.568775921649,15000.01
2017-12-23 14:00:00 UTC,14757.5360650406,15410.635100321,17698.6209319899,15699.8358597287,15733.2048249249,15620.0451721055,15585.9109473684,15340.9681284744,14829.8596072617,
2017-12-23 15:00:00 UTC,14628.1765847046,15231.6729264027,17527.5403987408,15870.2095548428,15604.0808111076,15776.2091489362,15426.6446065808,15311.1789577836,14835.3471391098,
2017-12-23 16:00:00 UTC,14533.6158673971,15065.0502482788,17362.8782758621,15589.7095264054,15425.3461338813,,15261.8010322581,15008.5485599464,14641.4553644803,15000.0
2017-12-23 17:00:00 UTC,14580.9611283045,15027.5399394088,17365.1830608175,15532.430379954,15534.7561522138,,15202.2929094828,14993.0704582652,14646.62366738285,15000.0
2017-12-23 18:00:00 UTC,14563.8800855612,15033.5805991812,17401.524,15620.1214560162,15411.6226940867,,15094.1997810219,15045.5597115385,14674.1260835106,
2017-12-23 19:00:00 UTC,14424.5240261616,15013.0336302895,17363.1440702479,15615.3804681847,15313.193965251,,15001.7699038462,14997.491460396,14691.82058339945,
2017-12-23 20:00:00 UTC,14625.4244065096,15275.259279042,17491.1502906449,15763.4122211945,15352.9938704052,15463.9925194469,15344.5786642599,15180.3268700787,14825.8568852627,15000.0
2017-12-23 21:00:00 UTC,14836.4178058096,15475.2301972942,17741.3229690346,15850.2392314014,15523.3580214164,15536.9414607359,15508.4736666667,15344.9195086705,15069.7702347831,15000.0
2017-12-23 22:00:00 UTC,14748.217496066,15308.3533274126,17508.6261353712,15707.8034361234,15467.1573485596,15555.5813380282,15354.4939495798,15292.9777667984,14995.2617427287,
2017-12-23 23:00:00 UTC,14135.6432208554,14733.6251496628,16939.5511314655,15140.1657895618,15043.9282711427,15014.2786564031,14860.29725,14717.6731702685,14460.41130730995,14600.2525
2017-12-24 00:00:00 UTC,13753.5409211942,14337.2546237732,16533.7901061009,14872.1319335185,14700.778051954,14782.0898898072,14493.1810596027,14422.9139956093,13937.34791972625,14600.0
2017-12-24 01:00:00 UTC,13559.2072747247,14287.5628030302,16484.4189228008,14741.8428500986,14626.8914667226,14680.1918335393,14503.5386225895,14331.0572727273,13865.797912626302,
2017-12-24 02:00:00 UTC,13184.4911591999,13867.6277850697,16125.4030585516,14207.2673914685,14370.8614493527,14114.4592566984,14149.1493272727,13910.5237479806,13459.79829291915,13700.0
