Time,bitfinex,bitflyer,bitstamp,cex.io,coinbase,exmo,gemini,hitbtc,kraken,others
2018-02-05 21:50:00 UTC,137.0,105.0,80.0,22.0,260.0,27.0,14.0,37.0,179.0,85.0
2018-02-05 21:51:00 UTC,174.0,95.0,66.0,6.0,195.0,28.0,26.0,29.0,132.0,82.0
2018-02-05 21:52:00 UTC,132.0,113.0,76.0,53.0,247.0,14.0,11.0,23.0,121.0,94.0
2018-02-05 21:53:00 UTC,92.0,85.0,68.0,13.0,263.0,5.0,10.0,24.0,107.0,65.0
2018-02-05 21:54:00 UTC,96.0,87.0,57.0,10.0,261.0,13.0,20.0,15.0,293.0,66.0
2018-02-05 21:55:00 UTC,141.0,108.0,33.0,33.0,167.0,30.0,21.0,21.0,107.0,59.0
2018-02-05 21:56:00 UTC,147.0,93.0,67.0,67.0,213.0,31.0,27.0,30.0,175.0,56.0
2018-02-05 21:57:00 UTC,203.0,120.0,126.0,39.0,226.0,56.0,14.0,60.0,268.0,74.0
2018-02-05 21:58:00 UTC,146.0,142.0,52.0,46.0,202.0,18.0,16.0,17.0,155.0,66.0
2018-02-05 21:59:00 UTC,223.0,101.0,82.0,72.0,252.0,36.0,64.0,22.0,172.0,95.0
2018-02-05 22:00:00 UTC,382.0,122.0,109.0,54.0,340.0,35.0,32.0,48.0,159.0,99.0
2018-02-05 22:01:00 UTC,189.0,143.0,49.0,27.0,296.0,17.0,19.0,29.0,98.0,40.0
2018-02-05 22:02:00 UTC,181.0,142.0,70.0,23.0,251.0,17.0,18.0,19.0,125.0,92.0
2018-02-05 22:03:00 UTC,243.0,94.0,79.0,12.0,160.0,12.0,65.0,28.0,141.0,68.0
2018-02-05 22:04:00 UTC,175.0,128.0,73.0,24.0,277.0,61.0,12.0,27.0,147.0,72.0
2018-02-05 22:05:00 UTC,159.0,101.0,47.0,6.0,204.0,34.0,9.0,11.0,104.0,54.0
2018-02-05 22:06:00 UTC,185.0,140.0,47.0,9.0,124.0,152.0,40.0,14.0,83.0,45.0
2018-02-05 22:07:00 UTC,120.0,170.0,59.0,19.0,133.0,15.0,14.0,14.0,103.0,76.0
2018-02-05 22:08:00 UTC,180.0,57.0,28.0,18.0,113.0,17.0,12.0,37.0,96.0,36.0
2018-02-05 22:09:00 UTC,158.0,119.0,56.0,20.0,100.0,18.0,8.0,53.0,81.0,49.0
2018-02-05 22:10:00 UTC,375.0,147.0,89.0,34.0,426.0,51.0,36.0,33.0,135.0,83.0
2018-02-05 22:11:00 UTC,261.0,151.0,54.0,24.0,352.0,41.0,24.0,66.0,148.0,75.0
2018-02-05 22:12:00 UTC,204.0,123.0,70.0,20.0,207.0,6.0,12.0,57.0,125.0,81.0
2018-02-05 22:13:00 UTC,224.0,116.0,39.0,35.0,218.0,28.0,30.0,8.0,125.0,135.0
2018-02-05 22:14:00 UTC,121.0,115.0,43.0,24.0,198.0,7.0,13.0,37.0,154.0,121.0
2018-02-05 22:15:00 UTC,179.0,110.0,81.0,38.0,125.0,17.0,23.0,29.0,86.0,109.0
2018-02-05 22:16:00 UTC,286.0,137.0,103.0,11.0,318.0,9.0,15.0,8.0,111.0,89.0
2018-02-05 22:17:00 UTC,239.0,105.0,106.0,156.0,288.0,27.0,17.0,58.0,249.0,70.0
2018-02-05 22:18:00 UTC,166.0,143.0,59.0,12.0,142.0,29.0,24.0,32.0,77.0,83.0
2018-02-05 22:19:00 UTC,214.0,165.0,41.0,18.0,111.0,31.0,19.0,20.0,62.0,62.0
2018-02-05 22:20:00 UTC,75.0,138.0,29.0,26.0,215.0,2.0,15.0,29.0,94.0,67.0
2018-02-05 22:21:00 UTC,222.0,125.0,37.0,19.0,204.0,18.0,57.0,49.0,108.0,53.0
2018-02-05 22:22:00 UTC,137.0,102.0,29.0,30.0,134.0,21.0,28.0,48.0,97.0,80.0
2018-02-05 22:23:00 UTC,199.0,118.0,30.0,12.0,193.0,5.0,26.0,30.0,63.0,58.0
2018-02-05 22:24:00 UTC,119.0,116.0,51.0,17.0,187.0,12.0,22.0,38.0,74.0,42.0
2018-02-05 22:25:00 UTC,85.0,89.0,27.0,34.0,115.0,10.0,19.0,56.0,43.0,49.0
2018-02-05 22:26:00 UTC,114.0,119.0,42.0,32.0,213.0,10.0,8.0,15.0,74.0,53.0
2018-02-05 22:27:00 UTC,156.0,108.0,40.0,18.0,145.0,9.0,19.0,26.0,121.0,60.0
2018-02-05 22:28:00 UTC,316.0,143.0,76.0,19.0,307.0,19.0,18.0,53.0,233.0,75.0
2018-02-05 22:29:00 UTC,144.0,89.0,60.0,4.0,123.0,15.0,31.0,31.0,107.0,78.0
2018-02-05 22:30:00 UTC,149.0,127.0,45.0,28.0,157.0,6.0,22.0,49.0,96.0,57.0
2018-02-05 22:31:00 UTC,102.0,78.0,27.0,9.0,99.0,2.0,14.0,45.0,64.0,58.0
2018-02-05 22:32:00 UTC,173.0,81.0,13.0,31.0,114.0,11.0,11.0,31.0,75.0,66.0
2018-02-05 22:33:00 UTC,265.0,114.0,34.0,31.0,151.0,44.0,31.0,23.0,96.0,63.0
2018-02-05 22:34:00 UTC,184.0,112.0,35.0,61.0,331.0,26.0,24.0,27.0,99.0,98.0
2018-02-05 22:35:00 UTC,166.0,146.0,37.0,61.0,160.0,8.0,24.0,29.0,114.0,75.0
2018-02-05 22:36:00 UTC,108.0,143.0,16.0,45.0,146.0,8.0,11.0,7.0,88.0,66.0
2018-02-05 22:37:00 UTC,117.0,188.0,35.0,61.0,118.0,70.0,33.0,13.0,100.0,80.0
2018-02-05 22:38:00 UTC,175.0,93.0,32.0,14.0,50.0,3.0,24.0,15.0,111.0,44.0
2018-02-05 22:39:00 UTC,299.0,208.0,95.0,76.0,441.0,13.0,56.0,69.0,184.0,81.0
2018-02-05 22:40:00 UTC,243.0,100.0,100.0,24.0,304.0,8.0,70.0,30.0,207.0,92.0
2018-02-05 22:41:00 UTC,247.0,128.0,101.0,19.0,318.0,8.0,124.0,55.0,206.0,114.0
2018-02-05 22:42:00 UTC,247.0,193.0,160.0,108.0,250.0,31.0,42.0,17.0,223.0,108.0
2018-02-05 22:43:00 UTC,250.0,208.0,192.0,35.0,222.0,24.0,29.0,28.0,251.0,90.0
2018-02-05 22:44:00 UTC,248.0,171.0,83.0,71.0,440.0,11.0,13.0,75.0,181.0,113.0
2018-02-05 22:45:00 UTC,252.0,97.0,72.0,25.0,206.0,16.0,19.0,16.0,144.0,109.0
2018-02-05 22:46:00 UTC,146.0,143.0,73.0,29.0,195.0,50.0,19.0,16.0,168.0,128.0
2018-02-05 22:47:00 UTC,285.0,196.0,135.0,28.0,730.0,40.0,42.0,36.0,197.0,165.0
2018-02-05 22:48:00 UTC,1277.0,335.0,314.0,131.0,915.0,173.0,121.0,95.0,574.0,298.0
2018-02-05 22:49:00 UTC,499.0,379.0,216.0,295.0,512.0,91.0,38.0,70.0,430.0,150.0
2018-02-05 22:50:00 UTC,338.0,255.0,102.0,14.0,539.0,45.0,36.0,32.0,253.0,136.0
2018-02-05 22:51:00 UTC,340.0,163.0,40.0,50.0,241.0,32.0,23.0,38.0,167.0,80.0
2018-02-05 22:52:00 UTC,224.0,225.0,38.0,42.0,375.0,23.0,29.0,13.0,91.0,83.0
2018-02-05 22:53:00 UTC,246.0,145.0,100.0,73.0,305.0,19.0,17.0,42.0,213.0,73.0
2018-02-05 22:54:00 UTC,241.0,186.0,191.0,49.0,473.0,31.0,14.0,45.0,305.0,82.0
2018-02-05 22:55:00 UTC,294.0,229.0,54.0,95.0,303.0,7.0,20.0,32.0,181.0,64.0
2018-02-05 22:56:00 UTC,133.0,167.0,74.0,36.0,282.0,21.0,19.0,55.0,279.0,105.0
2018-02-05 22:57:00 UTC,210.0,170.0,69.0,21.0,277.0,11.0,42.0,46.0,154.0,81.0
2018-02-05 22:58:00 UTC,131.0,186.0,82.0,24.0,365.0,77.0,30.0,31.0,176.0,98.0
